Date,Rate Before,Rate After
2025.10.30.,-,-
2025.09.18.,4.25%,4.50%
2025.07.31.,4.50%,4.50%
2025.06.19.,4.50%,4.50%
2025.05.08.,4.50%,4.50%
2025.03.20.,4.50%,4.50%
2025.01.30.,4.50%,4.50%
2024.12.19.,4.50%,4.75%
2024.11.08.,4.75%,5.00%
2024.09.19.,5.00%,5.50%
2024.08.01.,5.50%,5.50%
2024.06.13.,5.50%,5.50%
2024.05.02.,5.50%,5.50%
2024.03.21.,5.50%,5.50%
2024.02.01.,5.50%,5.50%
2023.12.14.,5.50%,5.50%
2023.11.02.,5.50%,5.50%
2023.09.21.,5.50%,5.50%
2023.07.27.,5.50%,5.25%
2023.06.15.,5.25%,5.25%
2023.05.04.,5.25%,5.00%
2023.03.23.,5.00%,4.75%
2023.02.02.,4.75%,4.50%
2022.12.15.,4.50%,4.00%
2022.11.03.,4.00%,3.25%
2022.09.22.,3.25%,2.50%
2022.07.28.,2.50%,1.75%
2022.06.16.,1.75%,1.00%
2022.05.05.,1.00%,0.50%
2022.03.17.,0.50%,0.25%
2022.01.27.,0.25%,0.25%
2021.12.16.,0.25%,0.25%
2021.11.04.,0.25%,0.25%
2021.09.23.,0.25%,0.25%
2021.07.29.,0.25%,0.25%
2021.06.17.,0.25%,0.25%
2021.04.29.,0.25%,0.25%
2021.03.18.,0.25%,0.25%
2021.01.28.,0.25%,0.25%
2020.12.17.,0.25%,0.25%
2020.11.06.,0.25%,0.25%
2020.09.17.,0.25%,0.25%
2020.07.30.,0.25%,0.25%
2020.06.11.,0.25%,0.25%
2020.04.30.,0.25%,0.25%
2020.03.16.,0.25%,1.25%
2020.03.04.,1.25%,1.75%
2020.01.30.,1.75%,1.75%
2019.12.12.,1.75%,1.75%
2019.10.31.,1.75%,2.00%
